surname,team,position,minutes,shots,passes,tackles,saves
Abdoun,Algeria,midfielder,16,0,6,0,0
Belhadj,Algeria,defender,270,1,146,8,0
Boudebouz,Algeria,midfielder,74,3,28,1,0
Bougherra,Algeria,defender,270,1,89,11,0
Chaouchi,Algeria,goalkeeper,90,0,17,0,2
Djebbour,Algeria,forward,123,3,19,1,0
Ghezzal,Algeria,forward,40,3,8,0,0
Guedioura,Algeria,midfielder,38,0,18,1,0
Halliche,Algeria,defender,270,2,94,4,0
Kadir,Algeria,midfielder,262,0,104,3,0
Lacen,Algeria,midfielder,270,0,158,8,0
M'Bolhi,Algeria,goalkeeper,180,0,30,0,12
Matmour,Algeria,midfielder,255,3,68,3,0
Mesbah,Algeria,midfielder,1,0,1,0,0
Saifi,Algeria,forward,15,1,3,0,0
Yahia,Algeria,defender,269,1,79,4,0
Yebda,Algeria,midfielder,269,8,138,10,0
Ziani,Algeria,midfielder,240,5,93,6,0
Aguero,Argentina,forward,106,2,57,2,0
